87 295
130 282
64 233
214 120
252 219
147 52
127 256
88 195
167 13
108 104
187 113
255 99
231 85
223 269
161 150
159 55
54 23
206 216
32 214
222 6
95 2
192 80
157 300
213 107
249 211
200 267
28 191
107 176
221 122
184 60
299 274
8 65
264 291
11 207
171 186
215 210
107 208
298 141
252 104
275 221
54 195
88 166
229 270
285 280
10 83
38 119
143 35
13 106
244 285
175 198
184 61
38 287
16 227
290 61
200 93
265 86
189 27
229 284
71 263
58 98
61 293
18 185
15 164
24 284
30 40
135 49
188 193
137 248
132 139
140 246
60 118
186 33
177 60
289 36
119 13
136 144
26 104
262 298
149 199
219 88
86 144
32 261
206 74
102 71
21 271
106 116
66 106
159 247
284 48
137 68
166 45
294 41
105 203
182 209
18 24
84 243
16 207
155 166
221 140
98 295
