48 138
79 50
106 130
71 80
56 2
147 115
147 85
116 150
123 94
37 2
68 260
24 236
147 196
0 202
145 226
16 164
94 175
8 170
117 183
114 210
209 122
235 71
257 3
152 59
235 15
192 43
278 84
294 85
185 148
257 133
216 174
232 201
169 202
267 288
250 292
289 226
269 222
227 180
189 275
205 272
133 57
43 98
20 143
50 39
40 128
13 53
59 84
89 76
82 124
12 92
73 209
17 280
110 284
54 202
124 223
49 236
111 270
139 259
89 288
53 245
166 22
192 16
235 101
192 79
263 69
253 56
211 94
191 99
173 123
164 116
269 187
193 295
227 259
285 293
169 297
193 203
272 196
180 175
244 184
273 264
13 126
1 116
0 20
141 12
142 39
14 205
134 202
33 160
123 202
73 192
274 5
272 96
221 48
230 28
245 131
283 168
165 172
173 228
299 268
194 241
